seq,voltage,current,power,time_in_cycle,temperature_measured,soc,cycle_index
0,3.9749,-2.0125,-7.9995,35.7,24.389,5.0,0
1,3.9201,-2.013,-7.8911,90.09,24.91,6.61,0
2,3.8875,-2.018,-7.845,144.64,25.509,8.22,0
3,3.8635,-2.013,-7.7773,199.22,26.078,9.83,0
4,3.8438,-2.0135,-7.7394,253.75,26.611,11.44,0
5,3.8264,-2.0131,-7.7031,308.36,27.13,13.05,0
6,3.8107,-2.0131,-7.6715,362.91,27.618,14.66,0
7,3.7963,-2.0132,-7.6428,417.28,28.079,16.27,0
8,3.7821,-2.0139,-7.6165,471.81,28.523,17.88,0
9,3.7679,-2.0121,-7.5814,526.62,28.933,19.49,0
10,3.7542,-2.0136,-7.5594,581.41,29.292,21.1,0
11,3.741,-2.0125,-7.5286,636.05,29.594,22.71,0
12,3.7284,-2.0155,-7.5145,690.81,29.839,24.32,0
13,3.7164,-2.013,-7.4811,745.58,30.033,25.93,0
14,3.7048,-2.0111,-7.4509,800.48,30.187,27.54,0
15,3.693,-2.012,-7.4304,855.25,30.335,29.15,0
16,3.6815,-2.0133,-7.4121,910.14,30.474,30.76,0
17,3.6703,-2.0114,-7.3826,965.05,30.614,32.37,0
18,3.6597,-2.0127,-7.3657,1020.17,30.759,33.98,0
19,3.6488,-2.012,-7.3414,1075.2,30.91,35.59,0
20,3.6385,-2.0128,-7.3236,1130.33,31.062,37.2,0
21,3.6286,-2.0109,-7.2967,1185.64,31.225,38.81,0
22,3.6185,-2.0142,-7.2883,1240.8,31.378,40.42,0
23,3.6086,-2.0116,-7.2588,1295.91,31.555,42.03,0
24,3.5989,-2.0154,-7.2532,1351.2,31.701,43.64,0
25,3.5897,-2.0136,-7.2281,1406.58,31.869,45.25,0
26,3.5805,-2.0128,-7.2069,1462.05,32.013,46.86,0
27,3.5713,-2.0162,-7.2005,1517.67,32.162,48.47,0
28,3.5626,-2.0139,-7.1747,1573.28,32.314,50.08,0
29,3.554,-2.0135,-7.1558,1628.95,32.447,51.69,0
30,3.5458,-2.013,-7.1378,1684.66,32.599,53.31,0
31,3.5374,-2.0131,-7.121,1740.44,32.73,54.92,0
32,3.5299,-2.0148,-7.1122,1796.33,32.866,56.53,0
33,3.5226,-2.012,-7.0875,1852.39,32.984,58.14,0
34,3.5154,-2.0125,-7.0748,1908.58,33.115,59.75,0
35,3.5088,-2.0121,-7.0602,1964.89,33.237,61.36,0
36,3.5028,-2.0151,-7.0584,2021.19,33.354,62.97,0
37,3.4965,-2.0118,-7.0342,2077.41,33.485,64.58,0
38,3.4909,-2.0117,-7.0227,2133.97,33.608,66.19,0
39,3.485,-2.0116,-7.0105,2190.55,33.77,67.8,0
40,3.4793,-2.0152,-7.0115,2247.22,33.904,69.41,0
41,3.4734,-2.0117,-6.9874,2303.86,34.048,71.02,0
42,3.4672,-2.0124,-6.9774,2360.59,34.193,72.63,0
43,3.4608,-2.014,-6.9699,2417.8,34.348,74.24,0
44,3.4538,-2.0122,-6.9497,2474.98,34.531,75.85,0
45,3.4469,-2.0139,-6.9416,2532.39,34.72,77.46,0
46,3.4389,-2.0135,-6.9244,2589.7,34.908,79.07,0
47,3.4309,-2.0127,-6.9053,2647.23,35.096,80.68,0
48,3.4218,-2.0118,-6.8838,2704.97,35.323,82.29,0
49,3.4118,-2.0099,-6.8574,2762.62,35.548,83.9,0
50,3.4002,-2.0129,-6.8443,2820.62,35.757,85.51,0
51,3.387,-2.0125,-6.8163,2878.58,35.996,87.12,0
52,3.3705,-2.0131,-6.7849,2936.69,36.226,88.73,0
53,3.3487,-2.0134,-6.7424,2994.97,36.481,90.34,0
54,3.3182,-2.0101,-6.6698,3053.38,36.767,91.95,0
55,3.2737,-2.0123,-6.5877,3111.83,37.069,93.56,0
56,3.2083,-2.0117,-6.4541,3170.19,37.42,95.17,0
57,3.1093,-2.0134,-6.2603,3229.02,37.84,96.78,0
58,2.9492,-2.0142,-5.9403,3287.97,38.303,98.39,0
59,2.6125,-2.0126,-5.258,3346.94,38.904,100.0,0
60,4.0083,-2.0113,-8.0619,19.55,23.578,5.0,1
61,3.9718,-2.0111,-7.9875,47.64,23.798,5.83,1
62,3.9489,-2.0124,-7.9466,75.69,24.061,6.65,1
63,3.9308,-2.0115,-7.9067,103.81,24.385,7.48,1
64,3.916,-2.0116,-7.8774,131.94,24.642,8.3,1
65,3.903,-2.0137,-7.8594,160.03,24.97,9.13,1
66,3.891,-2.0118,-7.8278,188.11,25.22,9.96,1
67,3.8807,-2.01,-7.8,216.17,25.54,10.78,1
68,3.8706,-2.0109,-7.7835,244.28,25.82,11.61,1
69,3.8611,-2.0121,-7.7691,272.42,26.07,12.43,1
70,3.8518,-2.0111,-7.7465,300.55,26.32,13.26,1
71,3.8439,-2.0154,-7.747,328.66,26.562,14.09,1
72,3.8358,-2.0134,-7.7228,356.75,26.836,14.91,1
73,3.8284,-2.0119,-7.7021,384.84,27.064,15.74,1
74,3.8206,-2.0138,-7.6938,412.99,27.301,16.57,1
75,3.8125,-2.015,-7.682,441.08,27.567,17.39,1
76,3.8043,-2.0164,-7.6708,469.24,27.785,18.22,1
77,3.7962,-2.0194,-7.6659,497.27,28.02,19.04,1
78,3.7878,-2.0108,-7.6167,525.33,28.232,19.87,1
79,3.7791,-2.0119,-7.6032,553.47,28.434,20.7,1
80,3.7707,-2.0124,-7.5882,581.56,28.621,21.52,1
81,3.7625,-2.0106,-7.5648,609.69,28.844,22.35,1
82,3.7544,-2.0126,-7.5561,637.81,28.987,23.17,1
83,3.747,-2.0141,-7.5469,665.84,29.068,24.0,1
84,3.7396,-2.0132,-7.5287,694.0,29.138,24.83,1
85,3.7329,-2.0098,-7.5025,722.12,29.183,25.65,1
86,3.726,-2.0144,-7.5056,750.27,29.255,26.48,1
87,3.7198,-2.0158,-7.4982,778.3,29.286,27.3,1
88,3.7133,-2.0119,-7.4708,806.45,29.262,28.13,1
89,3.7067,-2.0149,-7.4685,834.5,29.314,28.96,1
90,3.7005,-2.0122,-7.4461,862.62,29.308,29.78,1
91,3.694,-2.0106,-7.427,890.7,29.315,30.61,1
92,3.6879,-2.0116,-7.4186,918.81,29.372,31.43,1
93,3.6814,-2.0103,-7.4007,946.97,29.41,32.26,1
94,3.6754,-2.01,-7.3877,975.08,29.457,33.09,1
95,3.6691,-2.0138,-7.3888,1003.19,29.551,33.91,1
96,3.6631,-2.0116,-7.3688,1031.28,29.577,34.74,1
97,3.6572,-2.0095,-7.3491,1059.36,29.697,35.57,1
98,3.6515,-2.0137,-7.3531,1087.47,29.721,36.39,1
99,3.6457,-2.0112,-7.3321,1115.53,29.806,37.22,1
100,3.6399,-2.0106,-7.3183,1143.67,29.877,38.04,1
101,3.6343,-2.0121,-7.3126,1171.77,29.985,38.87,1
102,3.6288,-2.0106,-7.2961,1199.86,30.076,39.7,1
103,3.6232,-2.0112,-7.2869,1228.0,30.221,40.52,1
104,3.6182,-2.0118,-7.2792,1255.95,30.266,41.35,1
105,3.6128,-2.012,-7.269,1284.02,30.358,42.17,1
106,3.6076,-2.0153,-7.2703,1312.16,30.472,43.0,1
107,3.6023,-2.0131,-7.2519,1340.28,30.519,43.83,1
108,3.5974,-2.0122,-7.2386,1368.33,30.596,44.65,1
109,3.593,-2.0084,-7.216,1396.41,30.741,45.48,1
110,3.5878,-2.0123,-7.2199,1424.55,30.767,46.3,1
111,3.583,-2.0145,-7.218,1452.62,30.87,47.13,1
112,3.5784,-2.0126,-7.2017,1480.69,30.948,47.96,1
113,3.5738,-2.014,-7.1974,1508.77,30.963,48.78,1
114,3.5695,-2.0138,-7.1884,1536.8,31.101,49.61,1
115,3.565,-2.0126,-7.1747,1564.91,31.195,50.43,1
116,3.5606,-2.0121,-7.1643,1592.95,31.318,51.26,1
117,3.5564,-2.0098,-7.1476,1621.11,31.345,52.09,1
118,3.5524,-2.0119,-7.1472,1649.17,31.395,52.91,1
119,3.5483,-2.0114,-7.1372,1677.34,31.531,53.74,1
120,3.5443,-2.0121,-7.1317,1705.44,31.604,54.57,1
121,3.5404,-2.0144,-7.1319,1733.52,31.686,55.39,1
122,3.5368,-2.0121,-7.1163,1761.58,31.811,56.22,1
123,3.5333,-2.0114,-7.1067,1789.72,31.876,57.04,1
124,3.5295,-2.0119,-7.1008,1817.86,31.882,57.87,1
125,3.5262,-2.0124,-7.096,1845.92,31.983,58.7,1
126,3.5229,-2.0128,-7.0908,1874.08,32.075,59.52,1
127,3.5194,-2.0151,-7.092,1902.16,32.116,60.35,1
128,3.5165,-2.0122,-7.0757,1930.22,32.206,61.17,1
129,3.5131,-2.0115,-7.0665,1958.31,32.25,62.0,1
130,3.51,-2.0118,-7.0616,1986.47,32.356,62.83,1
131,3.5073,-2.0103,-7.0508,2014.56,32.486,63.65,1
132,3.5044,-2.0122,-7.0516,2042.66,32.531,64.48,1
133,3.5014,-2.0129,-7.0478,2070.78,32.579,65.3,1
